abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.385,0.386,0.384,0.385,0.387,0.385,0.345,0.344,0.344,0.371,0.361,0.361
B,0.367,0.371,0.363,0.407,0.409,0.406,0.369,0.365,0.373,0.27,0.269,0.27
C,0.378,0.363,0.36,0.38,0.381,0.379,0.368,0.361,0.366,4.10E-02,4.10E-02,4.10E-02
D,0.388,0.39,0.392,0.394,0.384,0.384,0.371,0.365,0.37,0.138,0.136,0.137
E,0.396,0.395,0.393,0.334,0.334,0.333,0.366,0.364,0.363,0.233,0.234,0.233
F,0.205,0.209,0.206,0.412,0.411,0.409,0.387,0.386,0.389,0.337,0.334,0.335
G,0.397,0.397,0.396,0.36,0.365,0.361,0.383,0.384,0.385,0.43,0.429,0.43
H,0.393,0.389,0.387,0.383,0.38,0.38,0.381,0.385,0.386,0.424,0.424,0.425
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,301,301,301,309,309,309,317,317,317,325,325,325
B,302,302,302,310,310,310,318,318,318,357,357,357
C,303,303,303,311,311,311,319,319,319,ddi_blank,ddi_blank,ddi_blank
D,304,304,304,312,312,312,320,320,320,0.005_M_std,0.005_M_std,0.005_M_std
E,305,305,305,313,313,313,321,321,321,0.01_M_std,0.01_M_std,0.01_M_std
F,306,306,306,314,314,314,322,322,322,0.015_M_std,0.015_M_std,0.015_M_std
G,307,307,307,315,315,315,323,323,323,0.02_M_std,0.02_M_std,0.02_M_std
H,308,308,308,316,316,316,324,324,324,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
