abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.304,0.307,0.307,0.317,0.314,0.315,0.297,0.299,0.297,4.70E-02,4.70E-02,4.70E-02
B,0.302,0.3,0.299,0.264,0.31,0.315,0.293,0.291,0.292,0.272,0.271,0.265
C,0.293,0.293,0.29,0.309,0.311,0.306,0.336,0.352,0.333,3.80E-02,3.90E-02,3.80E-02
D,0.296,0.299,0.294,0.338,0.345,0.34,0.333,0.322,0.326,0.132,0.132,0.141
E,0.292,0.29,0.262,0.296,0.297,0.295,0.293,0.299,0.291,0.228,0.228,0.226
F,0.28,0.282,0.281,0.305,0.305,0.298,0.286,0.284,0.285,0.323,0.324,0.33
G,0.28,0.278,0.28,0.282,0.285,0.287,0.263,0.273,0.268,0.418,0.422,0.434
H,0.275,0.279,0.279,0.322,0.324,0.319,0.271,0.27,0.273,0.407,0.411,0.41
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,125,125,125,133,133,133,141,141,141,358,358,358
B,126,126,126,134,134,134,142,142,142,,,
C,127,127,127,135,135,135,143,143,143,ddi_blank,ddi_blank,ddi_blank
D,128,128,128,136,136,136,144,144,144,0.005_M_std,0.005_M_std,0.005_M_std
E,129,129,129,137,137,137,145,145,145,0.01_M_std,0.01_M_std,0.01_M_std
F,130,130,130,138,138,138,146,146,146,0.015_M_std,0.015_M_std,0.015_M_std
G,131,131,131,139,139,139,147,147,147,0.02_M_std,0.02_M_std,0.02_M_std
H,132,132,132,140,140,140,148,148,148,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
