abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.277,0.253,0.274,0.393,0.386,0.389,0.347,0.345,0.347,0.387,0.384,0.385
B,0.353,0.353,0.352,0.399,0.394,0.395,0.393,0.392,0.391,0.287,0.26,0.275
C,0.357,0.356,0.352,0.393,0.386,0.387,0.391,0.363,0.304,0.04,3.80E-02,3.90E-02
D,0.386,0.384,0.387,0.387,0.387,0.387,0.387,0.364,0.39,0.404,0.394,0.407
E,0.387,0.384,0.383,0.317,0.321,0.322,0.385,0.374,0.385,0.415,0.414,0.391
F,0.391,0.393,0.389,0.376,0.371,0.377,0.38,0.378,0.376,0.312,0.31,0.315
G,0.387,0.386,0.383,0.38,0.382,0.372,0.383,0.379,0.38,0.226,0.22,0.222
H,0.396,0.396,0.392,0.344,0.34,0.341,0.388,0.386,0.384,0.13,0.133,0.132
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,176,176,176,184,184,184,192,192,192,200,200,200
B,177,177,177,185,185,185,193,193,193,355,355,355
C,178,178,178,186,186,186,194,194,194,ddi_blank,ddi_blank,ddi_blank
D,179,179,179,187,187,187,195,195,195,rgt_blank,rgt_blank,rgt_blank
E,180,180,180,188,188,188,196,196,196,0.02_M_std,0.02_M_std,0.02_M_std
F,181,181,181,189,189,189,197,197,197,0.015_M_std,0.015_M_std,0.015_M_std
G,182,182,182,190,190,190,198,198,198,0.01_M_std,0.01_M_std,0.01_M_std
H,183,183,183,191,191,191,199,199,199,0.005_M_std,0.005_M_std,0.005_M_std
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,bad,bad,bad,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
