abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.274,0.284,0.281,0.252,0.225,0.25,0.361,0.363,0.369,4.90E-02,4.70E-02,4.70E-02
B,0.244,0.247,0.253,0.233,0.237,0.233,0.387,0.386,0.384,0.262,0.264,0.265
C,0.14,0.137,0.138,0.209,0.209,0.208,0.05,0.05,4.90E-02,4.20E-02,4.10E-02,0.04
D,0.176,0.175,0.177,0.208,0.21,0.208,4.90E-02,5.10E-02,4.90E-02,0.13,0.13,0.131
E,0.385,0.392,0.394,0.209,0.205,0.211,4.80E-02,4.80E-02,4.80E-02,0.223,0.221,0.219
F,0.392,0.396,0.392,0.195,0.196,0.197,4.90E-02,4.80E-02,4.70E-02,0.294,0.296,0.295
G,0.295,0.296,0.292,0.321,0.321,0.321,4.90E-02,4.80E-02,4.80E-02,0.414,0.418,0.411
H,0.301,0.303,0.283,0.307,0.299,0.305,0.05,5.10E-02,0.05,0.401,0.405,0.407
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,149,149,149,365,365,365,373,373,373,,,
B,150,150,150,366,366,366,374,374,374,358,358,358
C,359,359,359,367,367,367,,,,ddi_blank,ddi_blank,ddi_blank
D,360,360,360,368,368,368,,,,0.005_M_std,0.005_M_std,0.005_M_std
E,361,361,361,369,369,369,,,,0.01_M_std,0.01_M_std,0.01_M_std
F,362,362,362,370,370,370,,,,0.015_M_std,0.015_M_std,0.015_M_std
G,363,363,363,371,371,371,,,,0.02_M_std,0.02_M_std,0.02_M_std
H,364,364,364,372,372,372,,,,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
