abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.339,0.356,0.351,0.375,0.385,0.365,0.374,0.376,0.379,0.355,0.365,0.351
B,0.349,0.344,0.352,0.373,0.367,0.358,0.378,0.371,0.375,0.271,0.27,0.268
C,0.358,0.365,0.362,0.386,0.387,0.384,0.378,0.384,0.391,4.10E-02,0.04,4.30E-02
D,0.373,0.374,0.364,0.333,0.329,0.329,0.386,0.38,0.378,0.138,0.134,0.136
E,0.373,0.373,0.366,0.341,0.346,0.352,0.374,0.377,0.39,0.229,0.232,0.23
F,0.382,0.381,0.38,0.385,0.368,0.397,6.60E-02,0.05,4.90E-02,0.337,0.333,0.329
G,0.114,0.113,0.116,0.292,0.293,0.29,0.371,0.374,0.375,0.428,0.426,0.424
H,0.377,0.375,0.376,0.384,0.386,0.377,0.362,0.362,0.365,0.417,0.423,0.422
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,326,326,326,334,334,334,342,342,342,350,350,350
B,327,327,327,335,335,335,343,343,343,357,357,357
C,328,328,328,336,336,336,344,344,344,ddi_blank,ddi_blank,ddi_blank
D,329,329,329,337,337,337,345,345,345,0.005_M_std,0.005_M_std,0.005_M_std
E,330,330,330,338,338,338,346,346,346,0.01_M_std,0.01_M_std,0.01_M_std
F,331,331,331,339,339,339,347,347,347,0.015_M_std,0.015_M_std,0.015_M_std
G,332,332,332,340,340,340,348,348,348,0.02_M_std,0.02_M_std,0.02_M_std
H,333,333,333,341,341,341,349,349,349,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,bad,bad,bad,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
