abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.379,0.38,0.378,0.349,0.348,0.347,0.384,0.392,0.392,0.427,0.437,0.431
B,0.371,0.37,0.388,0.389,0.376,0.382,0.389,0.377,0.386,0.273,0.273,0.273
C,0.355,0.391,0.367,0.375,0.384,0.38,0.395,0.382,0.386,4.10E-02,4.10E-02,4.10E-02
D,0.391,0.389,0.386,0.37,0.371,0.371,0.39,0.39,0.372,0.127,0.126,0.125
E,0.39,0.385,0.393,0.369,0.37,0.372,0.398,0.393,0.403,0.23,0.231,0.23
F,0.39,0.396,0.394,0.359,0.354,0.36,0.442,0.45,0.447,0.332,0.33,0.324
G,0.374,0.381,0.38,0.388,0.395,0.383,0.401,0.422,0.405,0.422,0.423,0.417
H,0.381,0.381,0.377,0.382,0.384,0.379,0.403,0.393,0.399,0.421,0.428,0.427
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,251,251,251,259,259,259,267,267,267,275,275,275
B,252,252,252,260,260,260,268,268,268,357,357,357
C,253,253,253,261,261,261,269,269,269,ddi_blank,ddi_blank,ddi_blank
D,254,254,254,262,262,262,270,270,270,0.005_M_std,0.005_M_std,0.005_M_std
E,255,255,255,263,263,263,271,271,271,0.01_M_std,0.01_M_std,0.01_M_std
F,256,256,256,264,264,264,272,272,272,0.015_M_std,0.015_M_std,0.015_M_std
G,257,257,257,265,265,265,273,273,273,0.02_M_std,0.02_M_std,0.02_M_std
H,258,258,258,266,266,266,274,274,274,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
