abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.386,0.388,0.385,0.39,0.389,0.387,0.385,0.391,0.387,0.384,0.388,0.378
B,0.378,0.38,0.38,0.389,0.383,0.385,0.394,0.39,0.392,0.274,0.271,0.27
C,0.38,0.379,0.382,0.382,0.38,0.38,0.396,0.4,0.396,4.20E-02,4.10E-02,4.20E-02
D,0.369,0.368,0.372,0.389,0.392,0.385,0.385,0.4,0.384,0.136,0.134,0.136
E,0.371,0.371,0.369,0.386,0.387,0.385,0.391,0.397,0.39,0.233,0.231,0.237
F,0.372,0.38,0.38,0.399,0.399,0.398,0.381,0.35,0.371,0.332,0.334,0.333
G,0.245,0.236,0.222,0.394,0.393,0.395,0.389,0.394,0.391,0.428,0.426,0.426
H,0.341,0.35,0.337,0.38,0.375,0.371,0.393,0.394,0.394,0.421,0.426,0.423
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,276,276,276,284,284,284,292,292,292,300,300,300
B,277,277,277,285,285,285,293,293,293,357,357,357
C,278,278,278,286,286,286,294,294,294,ddi_blank,ddi_blank,ddi_blank
D,279,279,279,287,287,287,295,295,295,0.005_M_std,0.005_M_std,0.005_M_std
E,280,280,280,288,288,288,296,296,296,0.01_M_std,0.01_M_std,0.01_M_std
F,281,281,281,289,289,289,297,297,297,0.015_M_std,0.015_M_std,0.015_M_std
G,282,282,282,290,290,290,298,298,298,0.02_M_std,0.02_M_std,0.02_M_std
H,283,283,283,291,291,291,299,299,299,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
