abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.381,0.394,0.386,0.371,0.373,0.372,0.369,0.373,0.372,0.356,0.354,0.351
B,0.378,0.377,0.376,0.393,0.378,0.376,0.378,0.376,0.385,0.275,0.272,0.277
C,0.375,0.377,0.374,0.37,0.361,0.362,0.386,0.385,0.388,0.05,4.10E-02,0.04
D,0.374,0.376,0.372,0.389,0.386,0.388,0.399,0.396,0.397,0.137,0.134,0.135
E,0.361,0.359,0.37,0.369,0.378,0.376,0.388,0.387,0.391,0.233,0.232,0.232
F,0.35,0.353,0.351,0.347,0.346,0.348,0.348,0.346,0.351,0.328,0.327,0.327
G,0.386,0.387,0.391,0.363,0.365,0.36,0.353,0.351,0.352,0.423,0.423,0.422
H,0.388,0.386,0.393,0.357,0.355,0.353,0.346,0.344,0.345,0.428,0.427,0.427
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,201,201,201,209,209,209,217,217,217,225,225,225
B,202,202,202,210,210,210,218,218,218,357,357,357
C,203,203,203,211,211,211,219,219,219,ddi_blank,ddi_blank,ddi_blank
D,204,204,204,212,212,212,220,220,220,0.005_M_std,0.005_M_std,0.005_M_std
E,205,205,205,213,213,213,221,221,221,0.01_M_std,0.01_M_std,0.01_M_std
F,206,206,206,214,214,214,222,222,222,0.015_M_std,0.015_M_std,0.015_M_std
G,207,207,207,215,215,215,223,223,223,0.02_M_std,0.02_M_std,0.02_M_std
H,208,208,208,216,216,216,224,224,224,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,bad,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
