sample_name,average
101CCNRD15,952.219
101CCNRD30,740.915
101CCNRD60,204.190
101CCNRD90,143.197
102CCNRD15,831.128
102CCNRD30,340.265
102CCNRD60,79.758
102CCNRD90,137.308
103CCNRD15,674.900
103CCNRD30,162.182
103CCNRD60,68.517
103CCNRD90,138.541
104CCNRD15,891.155
104CCNRD30,250.035
104CCNRD60,52.662
104CCNRD90,6.531
105CCNRD15,720.535
105CCNRD30,291.674
105CCNRD60,52.115
105CCNRD90,72.919
106CCNRD15,825.335
106CCNRD30,353.030
106CCNRD60,204.724
106CCNRD90,63.550
107CCNRD15,828.726
107CCNRD30,450.210
107CCNRD60,114.334
107CCNRD90,179.330
108CCNRD15,806.467
108CCNRD30,566.462
108CCNRD60,243.319
108CCNRD90,214.771
109CCNRD15,814.433
109CCNRD30,346.756
109CCNRD60,91.491
109CCNRD90,449.159
110CCNRD15,803.130
110CCNRD30,355.222
110CCNRD60,94.822
110CCNRD90,228.741
111CCNRD15,801.551
111CCNRD30,499.437
111CCNRD60,102.705
111CCNRD90,167.769
112CCNRD15,771.546
112CCNRD30,379.926
112CCNRD60,78.437
112CCNRD90,150.923
201CCNRD15,901.759
201CCNRD30,422.904
201CCNRD60,154.241
201CCNRD90,117.141
202CCNRD15,846.410
202CCNRD30,374.410
202CCNRD60,182.021
202CCNRD90,172.550
203CCNRD15,725.228
203CCNRD30,511.636
203CCNRD60,246.815
203CCNRD90,123.668
204CCNRD15,834.305
204CCNRD30,499.338
204CCNRD60,130.030
204CCNRD90,136.410
205CCNRD15,754.165
205CCNRD30,356.626
205CCNRD60,171.498
205CCNRD90,181.029
206CCNRD15,786.214
206CCNRD30,356.360
206CCNRD60,177.862
206CCNRD90,145.671
207CCNRD15,701.545
207CCNRD30,482.050
207CCNRD60,234.131
207CCNRD90,200.315
208CCNRD15,746.848
208CCNRD30,454.419
208CCNRD60,240.660
208CCNRD90,192.340
209CCNRD15,684.183
209CCNRD30,524.798
209CCNRD60,179.529
209CCNRD90,481.287
210CCNRD15,710.958
210CCNRD30,536.838
210CCNRD60,116.462
210CCNRD90,138.903
211CCNRD15,699.452
211CCNRD30,407.936
211CCNRD60,202.917
211CCNRD90,125.924
212CCNRD15,690.889
212CCNRD30,363.971
212CCNRD60,277.844
212CCNRD90,175.528
301CCNRD15,762.240
301CCNRD30,460.561
301CCNRD60,423.058
301CCNRD90,215.933
302CCNRD15,578.041
302CCNRD30,445.853
302CCNRD60,504.257
302CCNRD90,218.829
303CCNRD15,625.728
303CCNRD30,475.252
303CCNRD60,363.546
303CCNRD90,273.475
304CCNRD15,724.398
304CCNRD30,330.816
304CCNRD60,317.534
304CCNRD90,234.573
305CCNRD15,615.593
305CCNRD30,500.323
305CCNRD60,385.457
305CCNRD90,200.571
306CCNRD15,642.821
306CCNRD30,572.652
306CCNRD60,359.339
306CCNRD90,170.498
307CCNRD15,659.225
307CCNRD30,537.044
307CCNRD60,342.549
307CCNRD90,268.561
308CCNRD15,707.691
308CCNRD30,343.924
308CCNRD60,256.533
308CCNRD90,269.101
309CCNRD15,704.453
309CCNRD30,443.946
309CCNRD60,258.850
309CCNRD90,209.984
310CCNRD15,750.905
310CCNRD30,475.210
310CCNRD60,235.814
310CCNRD90,666.617
311CCNRD15,683.007
311CCNRD30,447.734
311CCNRD60,316.856
311CCNRD90,192.035
312CCNRD15,777.700
312CCNRD30,373.767
312CCNRD60,276.556
312CCNRD90,188.910
401CCNRD15,1002.002
401CCNRD30,352.409
401CCNRD60,424.674
401CCNRD90,330.428
402CCNRD15,711.020
402CCNRD30,237.819
402CCNRD60,168.758
402CCNRD90,333.369
403CCNRD15,629.544
403CCNRD30,282.514
403CCNRD60,161.133
403CCNRD90,176.858
404CCNRD15,710.013
404CCNRD30,229.280
404CCNRD60,119.189
404CCNRD90,175.399
405CCNRD15,578.040
405CCNRD30,249.971
405CCNRD60,164.603
405CCNRD90,170.622
406CCNRD15,783.176
406CCNRD30,332.530
406CCNRD60,213.616
406CCNRD90,532.415
407CCNRD15,839.993
407CCNRD30,373.143
407CCNRD60,179.706
407CCNRD90,247.464
408CCNRD15,892.009
408CCNRD30,450.931
408CCNRD60,218.596
408CCNRD90,194.107
SS01,528.775
SS02,363.100
SS03,552.613
SS05,565.239
SS06,977.775
