plate_id,id,run_date,site.x,plot.x,depth_cm.x,rep.x,mass_kg,poxc_mg_kg,site.y,sample.date,plot.y,depth_cm.y,sample_name,rep.y
abs_20251203_plate1,1,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,101,15,101CCNRD15,A
abs_20251203_plate1,10,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,105,15,105CCNRD15,B
abs_20251203_plate1,11,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,106,15,106CCNRD15,A
abs_20251203_plate1,12,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,106,15,106CCNRD15,B
abs_20251203_plate1,13,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,107,15,107CCNRD15,A
abs_20251203_plate1,14,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,107,15,107CCNRD15,B
abs_20251203_plate1,15,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,108,15,108CCNRD15,A
abs_20251203_plate1,16,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,108,15,108CCNRD15,B
abs_20251203_plate1,17,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,109,15,109CCNRD15,A
abs_20251203_plate1,18,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,109,15,109CCNRD15,B
abs_20251203_plate1,19,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,110,15,110CCNRD15,A
abs_20251203_plate1,2,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,101,15,101CCNRD15,B
abs_20251203_plate1,20,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,110,15,110CCNRD15,B
abs_20251203_plate1,21,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,111,15,111CCNRD15,A
abs_20251203_plate1,22,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,111,15,111CCNRD15,B
abs_20251203_plate1,23,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,112,15,112CCNRD15,A
abs_20251203_plate1,24,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,112,15,112CCNRD15,B
abs_20251203_plate1,25,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,201,15,201CCNRD15,A
abs_20251203_plate1,3,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,102,15,102CCNRD15,A
abs_20251203_plate1,353,20251203,NA,NA,NA,NA,NA,NA,Soil Standard,2025,UMNTC,na,SS01,ss
abs_20251203_plate1,4,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,102,15,102CCNRD15,B
abs_20251203_plate1,5,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,103,15,103CCNRD15,A
abs_20251203_plate1,6,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,103,15,103CCNRD15,B
abs_20251203_plate1,7,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,104,15,104CCNRD15,A
abs_20251203_plate1,8,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,104,15,104CCNRD15,B
abs_20251203_plate1,9,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,105,15,105CCNRD15,A
abs_20251203_plate2,26,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,201,15,201CCNRD15,B
abs_20251203_plate2,27,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,202,15,202CCNRD15,A
abs_20251203_plate2,28,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,202,15,202CCNRD15,B
abs_20251203_plate2,29,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,203,15,203CCNRD15,A
abs_20251203_plate2,30,20251203,NA,NA,NA,NA,NA,NA,CCNRD,2025,203,15,203CCNRD15,B
