sample_name,average
101CCNRD15,1119.636241
101CCNRD30,740.9154474
101CCNRD60,204.1901297
101CCNRD90,143.1968685
102CCNRD15,831.1275685
102CCNRD30,340.2649962
102CCNRD60,79.75821282
102CCNRD90,137.3082943
103CCNRD15,674.8995147
103CCNRD30,162.1823401
103CCNRD60,68.51681824
103CCNRD90,138.5406032
104CCNRD15,891.1554202
104CCNRD30,250.0350742
104CCNRD60,52.66244009
104CCNRD90,6.53067486
105CCNRD15,720.5345416
105CCNRD30,291.6740012
105CCNRD60,52.1149896
105CCNRD90,72.91877612
106CCNRD15,825.3350281
106CCNRD30,353.0296666
106CCNRD60,204.7237924
106CCNRD90,63.55028555
107CCNRD15,828.7262231
107CCNRD30,450.210113
107CCNRD60,114.3338799
107CCNRD90,179.3301267
108CCNRD15,806.4669093
108CCNRD30,566.461589
108CCNRD60,243.3192952
108CCNRD90,214.7714395
109CCNRD15,814.4332907
109CCNRD30,346.7562857
109CCNRD60,129.9674909
109CCNRD90,449.1590068
110CCNRD15,803.1303599
110CCNRD30,355.2223663
110CCNRD60,96.75083657
110CCNRD90,228.7408167
111CCNRD15,801.5512803
111CCNRD30,499.4371746
111CCNRD60,102.7046342
111CCNRD90,167.7686233
112CCNRD15,771.5462803
112CCNRD30,379.9259109
112CCNRD60,78.43729333
112CCNRD90,150.9226229
201CCNRD15,901.7592491
201CCNRD30,422.904182
201CCNRD60,154.2406308
201CCNRD90,117.1412322
202CCNRD15,846.4102427
202CCNRD30,374.4097823
202CCNRD60,182.0210387
202CCNRD90,172.5503181
203CCNRD15,725.2277739
203CCNRD30,511.6361092
203CCNRD60,246.8151891
203CCNRD90,123.6681113
204CCNRD15,834.3053837
204CCNRD30,499.3384042
204CCNRD60,130.029814
204CCNRD90,136.4101089
205CCNRD15,754.1651379
205CCNRD30,356.6263072
205CCNRD60,171.49819
205CCNRD90,181.0286744
206CCNRD15,786.2144386
206CCNRD30,356.3601829
206CCNRD60,177.8621303
206CCNRD90,145.6709006
207CCNRD15,701.5452286
207CCNRD30,437.7991039
207CCNRD60,234.1308841
207CCNRD90,200.3147091
208CCNRD15,746.8475941
208CCNRD30,450.3468529
208CCNRD60,240.6595655
208CCNRD90,192.3400223
209CCNRD15,495.0552446
209CCNRD30,497.0677533
209CCNRD60,179.5289166
209CCNRD90,481.2873368
210CCNRD15,710.9577242
210CCNRD30,493.7586275
210CCNRD60,116.4619654
210CCNRD90,138.9025256
211CCNRD15,699.4523038
211CCNRD30,379.7314684
211CCNRD60,202.9165324
211CCNRD90,125.9241827
212CCNRD15,690.8893367
212CCNRD30,345.4243112
212CCNRD60,277.8442057
212CCNRD90,175.5279728
301CCNRD15,489.5902024
301CCNRD30,318.7332726
301CCNRD60,423.05836
301CCNRD90,215.9330327
302CCNRD15,578.0413548
302CCNRD30,226.4159592
302CCNRD60,504.2572373
302CCNRD90,218.8285549
303CCNRD15,625.7280323
303CCNRD30,344.8882369
303CCNRD60,363.5457254
303CCNRD90,273.4745747
304CCNRD15,661.5152329
304CCNRD30,145.9109152
304CCNRD60,317.5341028
304CCNRD90,234.5727557
305CCNRD15,615.5932409
305CCNRD30,312.9772943
305CCNRD60,385.4567282
305CCNRD90,200.5711089
306CCNRD15,642.8206198
306CCNRD30,364.7672845
306CCNRD60,359.3391954
306CCNRD90,170.4981859
307CCNRD15,659.2253113
307CCNRD30,366.6118871
307CCNRD60,342.5492717
307CCNRD90,268.56132
308CCNRD15,707.691159
308CCNRD30,421.0170163
308CCNRD60,256.5333054
308CCNRD90,269.1014163
309CCNRD15,704.4532562
309CCNRD30,443.9461506
309CCNRD60,258.8501654
309CCNRD90,209.9836039
310CCNRD15,750.9052904
310CCNRD30,475.2098629
310CCNRD60,235.8143603
310CCNRD90,666.6173879
311CCNRD15,683.0069411
311CCNRD30,447.7335512
311CCNRD60,316.8559975
311CCNRD90,192.035017
312CCNRD15,777.7004097
312CCNRD30,373.7671731
312CCNRD60,276.5561185
312CCNRD90,188.9099779
401CCNRD15,1002.002233
401CCNRD30,352.4088279
401CCNRD60,424.6737381
401CCNRD90,330.4282632
402CCNRD15,711.0199707
402CCNRD30,237.8188704
402CCNRD60,168.7581189
402CCNRD90,333.3693866
403CCNRD15,629.5443533
403CCNRD30,282.514374
403CCNRD60,161.1329116
403CCNRD90,176.8576711
404CCNRD15,710.0127714
404CCNRD30,229.2797333
404CCNRD60,119.1894879
404CCNRD90,175.3988869
405CCNRD15,578.0395198
405CCNRD30,249.9706299
405CCNRD60,164.6032177
405CCNRD90,170.6224517
406CCNRD15,783.1755018
406CCNRD30,332.5295293
406CCNRD60,213.6163325
406CCNRD90,782.4302104
407CCNRD15,839.9928268
407CCNRD30,373.1432269
407CCNRD60,179.7063523
407CCNRD90,247.4642813
408CCNRD15,892.0087776
408CCNRD30,450.9311905
408CCNRD60,218.5960233
408CCNRD90,194.1068129
SS01,528.7747186
SS02,363.0996687
SS03,552.6126847
SS04,598.8475189
SS05,565.2386204
