plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
,E,205,205,205,213,213,213,221,221,221,0.01_M_std,0.01_M_std,0.01_M_std
,F,206,206,206,214,214,214,222,222,222,0.015_M_std,0.015_M_std,0.015_M_std
,G,207,207,207,215,215,215,223,223,223,0.02_M_std,0.02_M_std,0.02_M_std
,H,208,208,208,216,216,216,224,224,224,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate10,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,226,226,226,234,234,234,242,242,242,250,250,250
,B,227,227,227,235,235,235,243,243,243,357,357,357
,C,228,228,228,236,236,236,244,244,244,ddi_blank,ddi_blank,ddi_blank
,D,229,229,229,237,237,237,245,245,245,0.005_M_std,0.005_M_std,0.005_M_std
,E,230,230,230,238,238,238,246,246,246,0.01_M_std,0.01_M_std,0.01_M_std
,F,231,231,231,239,239,239,247,247,247,0.015_M_std,0.015_M_std,0.015_M_std
,G,232,232,232,240,240,240,248,248,248,0.02_M_std,0.02_M_std,0.02_M_std
,H,233,233,233,241,241,241,249,249,249,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate11,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,251,251,251,259,259,259,267,267,267,275,275,275
,B,252,252,252,260,260,260,268,268,268,357,357,357
,C,253,253,253,261,261,261,269,269,269,ddi_blank,ddi_blank,ddi_blank
,D,254,254,254,262,262,262,270,270,270,0.005_M_std,0.005_M_std,0.005_M_std
,E,255,255,255,263,263,263,271,271,271,0.01_M_std,0.01_M_std,0.01_M_std
,F,256,256,256,264,264,264,272,272,272,0.015_M_std,0.015_M_std,0.015_M_std
,G,257,257,257,265,265,265,273,273,273,0.02_M_std,0.02_M_std,0.02_M_std
,H,258,258,258,266,266,266,274,274,274,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate12,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,276,276,276,284,284,284,292,292,292,300,300,300
,B,277,277,277,285,285,285,293,293,293,357,357,357
,C,278,278,278,286,286,286,294,294,294,ddi_blank,ddi_blank,ddi_blank
,D,279,279,279,287,287,287,295,295,295,0.005_M_std,0.005_M_std,0.005_M_std
,E,280,280,280,288,288,288,296,296,296,0.01_M_std,0.01_M_std,0.01_M_std
,F,281,281,281,289,289,289,297,297,297,0.015_M_std,0.015_M_std,0.015_M_std
,G,282,282,282,290,290,290,298,298,298,0.02_M_std,0.02_M_std,0.02_M_std
,H,283,283,283,291,291,291,299,299,299,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate13,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,301,301,301,309,309,309,317,317,317,325,325,325
,B,302,302,302,310,310,310,318,318,318,357,357,357
,C,303,303,303,311,311,311,319,319,319,ddi_blank,ddi_blank,ddi_blank
,D,304,304,304,312,312,312,320,320,320,0.005_M_std,0.005_M_std,0.005_M_std
,E,305,305,305,313,313,313,321,321,321,0.01_M_std,0.01_M_std,0.01_M_std
,F,306,306,306,314,314,314,322,322,322,0.015_M_std,0.015_M_std,0.015_M_std
,G,307,307,307,315,315,315,323,323,323,0.02_M_std,0.02_M_std,0.02_M_std
,H,308,308,308,316,316,316,324,324,324,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate14,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,326,326,326,334,334,334,342,342,342,350,350,350
,B,327,327,327,335,335,335,343,343,343,357,357,357
,C,328,328,328,336,336,336,344,344,344,ddi_blank,ddi_blank,ddi_blank
,D,329,329,329,337,337,337,345,345,345,0.005_M_std,0.005_M_std,0.005_M_std
,E,330,330,330,338,338,338,346,346,346,0.01_M_std,0.01_M_std,0.01_M_std
,F,331,331,331,339,339,339,347,347,347,0.015_M_std,0.015_M_std,0.015_M_std
,G,332,332,332,340,340,340,348,348,348,0.02_M_std,0.02_M_std,0.02_M_std
,H,333,333,333,341,341,341,349,349,349,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251219_plate15,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,351,351,351,,,,,,,,,
,B,352,352,352,,,,,,,357,357,357
,C,,,,,,,,,,ddi_blank,ddi_blank,ddi_blank
,D,,,,,,,,,,0.005_M_std,0.005_M_std,0.005_M_std
,E,,,,,,,,,,0.01_M_std,0.01_M_std,0.01_M_std
,F,,,,,,,,,,0.015_M_std,0.015_M_std,0.015_M_std
,G,,,,,,,,,,0.02_M_std,0.02_M_std,0.02_M_std
,H,,,,,,,,,,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251230_plate16,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,125,125,125,133,133,133,141,141,141,,,
,B,126,126,126,134,134,134,142,142,142,358,358,358
,C,127,127,127,135,135,135,143,143,143,ddi_blank,ddi_blank,ddi_blank
,D,128,128,128,136,136,136,144,144,144,0.005_M_std,0.005_M_std,0.005_M_std
,E,129,129,129,137,137,137,145,145,145,0.01_M_std,0.01_M_std,0.01_M_std
,F,130,130,130,138,138,138,146,146,146,0.015_M_std,0.015_M_std,0.015_M_std
,G,131,131,131,139,139,139,147,147,147,0.02_M_std,0.02_M_std,0.02_M_std
,H,132,132,132,140,140,140,148,148,148,rgt_blank,rgt_blank,rgt_blank
,,,,,,,,,,,,,
abs_20251230_plate17,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,149,149,149,365,365,365,373,373,373,,,
,B,150,150,150,366,366,366,374,374,374,358,358,358
,C,359,359,359,367,367,367,,,,ddi_blank,ddi_blank,ddi_blank
,D,360,360,360,368,368,368,,,,0.005_M_std,0.005_M_std,0.005_M_std
,E,361,361,361,369,369,369,,,,0.01_M_std,0.01_M_std,0.01_M_std
,F,362,362,362,370,370,370,,,,0.015_M_std,0.015_M_std,0.015_M_std
,G,363,363,363,371,371,371,,,,0.02_M_std,0.02_M_std,0.02_M_std
,H,364,364,364,372,372,372,,,,rgt_blank,rgt_blank,rgt_blank
