"pause","study","plot","depth.cm","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"CCNRD","305","15",10.0281,"114a","305CCNRD15","2.43",2025-12-17 09:28:00,2025-12-17 09:30:00,5674,"9:29",11042025,26,26,"","09:29:00",5321.915,117,4600.86048611111,1.00002314814815,2256.65188292509,209.725757704675
2,"CCNRD","305","15",10.0394,"114b","305CCNRD15","2.43",2025-12-17 09:30:00,2025-12-17 09:32:00,5756,"9:31",11042025,26,26,"","09:31:02",5409.02166666667,275,4687.96715277778,1.00002314814815,2299.37637412452,213.455901240723
3,"CCNRD","305","15",10.0179,"114c","305CCNRD15","2.43",2025-12-17 09:32:00,2025-12-17 09:34:00,5001,"9:33",11042025,26,26,"","09:33:02",4749.56,425,4028.50548611111,1.00002314814815,1975.92048662419,183.822484339588
4,"CCNRD","306","15",10.0237,"115a","306CCNRD15","2.43",2025-12-17 09:34:00,2025-12-17 09:36:00,4569,"9:35",11042025,26,26,"","09:35:00",4219.58,569,3498.52548611111,1.00002314814815,1715.97338139833,159.546891046554
5,"CCNRD","306","15",10.0034,"115b","306CCNRD15","2.43",2025-12-17 09:36:00,2025-12-17 09:38:00,2088,"9:37",11042025,26,26,"bad lid","09:37:00",1916.345,714,1195.29048611111,1.00002314814815,586.271749440729,54.6206912151256
6,"CCNRD","306","15",10.0124,"115c","306CCNRD15","2.43",2025-12-17 09:38:00,2025-12-17 09:40:00,5432,"9:39",11042025,26,26,"","09:39:00",5174.08166666667,837,4453.02715277778,1.00002314814815,2184.14188810285,203.305213531592
7,"CCNRD","307","15",10.0011,"116a","307CCNRD15","2.43",2025-12-17 09:40:00,2025-12-17 09:42:00,4353,"9:41",11042025,26,26,"","09:41:00",3944.47333333333,986,3223.41881944444,1.00002314814815,1581.0377581138,147.33310155142
8,"CCNRD","307","15",10.0391,"116b","307CCNRD15","2.43",2025-12-17 09:42:00,2025-12-17 09:44:00,9740,"9:43",11042025,26,26,"","09:43:01",8880.415,1123,8159.36048611111,1.00002314814815,4002.04184848272,371.528988100246
9,"CCNRD","307","15",10.0333,"116c","307CCNRD15","2.43",2025-12-17 09:44:00,2025-12-17 09:46:00,5174,"9:45",11042025,26,26,"recallibrating after this reading","09:44:47",4677.11833333333,1266,3956.06381944445,1.00002314814815,1940.38895421215,180.239865667298
10,"CCNRD","308","15",10.0099,"117a","308CCNRD15","2.43",2025-12-17 09:46:00,2025-12-17 09:48:00,4742,"9:50",11042025,26,26,"not really much difference","09:49:59",4486.00666666667,1343,3764.95215277778,1.00002314814815,1846.6515970951,171.933730568386
11,"CCNRD","308","15",10.019,"117b","308CCNRD15","2.43",2025-12-17 09:48:00,2025-12-17 09:50:00,4874,"9:51",11042025,26,26,"","09:51:02",4440.06833333333,1419,3719.01381944444,1.00002314814815,1824.11954537825,169.681611289877
12,"CCNRD","308","15",10.0273,"117c","308CCNRD15","2.43",2025-12-17 09:50:00,2025-12-17 09:52:00,4479,"9:53",11042025,26,26,"","09:53:03",4000.08,1587,3279.02548611111,1.00002314814815,1608.31197984152,149.483117905487
13,"CCNRD","309","15",10.0188,"118a","309CCNRD15","2.43",2025-12-17 09:52:00,2025-12-17 09:54:00,6615,"9:55",11042025,26,26,"","09:55:01",6232.57,1739,5511.51548611111,1.00002314814815,2703.31426850466,251.470293657331
14,"CCNRD","309","15",10.0156,"118b","309CCNRD15","2.43",2025-12-17 09:54:00,2025-12-17 09:56:00,5247,"9:57",11042025,26,26,"dip in reading","09:56:59",4684.005,1887,3962.95048611111,1.00002314814815,1943.76675915697,180.872707130571
15,"CCNRD","309","15",10.0341,"118c","309CCNRD15","2.43",2025-12-17 09:56:00,2025-12-17 09:58:00,5690,"9:59",11042025,26,26,"","09:59:00",5493.915,2056,4772.86048611111,1.00002314814815,2341.01525908806,217.436114589503
16,"CCNRD","310","15",10.0206,"119a","310CCNRD15","2.43",2025-12-17 09:58:00,2025-12-17 10:00:00,5356,"10:01",11042025,26,26,"","10:01:00",5122.80833333333,2221,4401.75381944444,1.00002314814815,2158.99310027071,200.799851531186
