"pause","study","plot","depth.cm","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"CCNRD","405","60",10.0395,"212a","405CCNRD60","2",2025-12-17 09:00:00,2025-12-17 09:02:00,1970,"9:01",20251211,26,26,"","09:01:06",1945.84166666667,144,1225.04114814815,1.00002314814815,600.863995327519,55.7789014254663
2,"CCNRD","405","60",10.0101,"212b","405CCNRD60","2",2025-12-17 09:02:00,2025-12-17 09:04:00,1849,"9:03",20251211,26,26,"","09:03:01",1772.23333333333,310,1051.43281481481,1.00002314814815,515.711756199464,48.0147282276712
3,"CCNRD","405","60",10.0234,"212c","405CCNRD60","2",2025-12-17 09:04:00,2025-12-17 09:06:00,1849,"9:05",20251211,26,26,"","09:05:02",1810.48666666667,472,1089.68614814815,1.00002314814815,534.474432649971,49.6955764217414
4,"CCNRD","406","60",10.0081,"213a","406CCNRD60","2",2025-12-17 09:06:00,2025-12-17 09:08:00,1995,"9:07",20251211,26,26,"","09:07:01",2044.40166666667,639,1323.60114814815,1.00002314814815,649.206171807879,60.4556455697994
5,"CCNRD","406","60",10.0361,"213b","406CCNRD60","2",2025-12-17 09:08:00,2025-12-17 09:10:00,1850,"9:09",20251211,26,26,"","09:09:46",1880.47666666667,879,1159.67614814815,1.00002314814815,568.803459961866,52.8205730872086
6,"CCNRD","406","60",10.0017,"213c","406CCNRD60","2",2025-12-17 09:10:00,2025-12-17 09:12:00,2275,"9:11",20251211,26,26,"","09:11:01",2249.52,964,1528.71948148148,1.00002314814815,749.813585255091,69.8691307776041
7,"CCNRD","407","60",10.0201,"214a","407CCNRD60","2",2025-12-17 09:12:00,2025-12-17 09:14:00,2417,"9:13",20251211,26,26,"","09:12:59",2473.69666666667,1117,1752.89614814815,1.00002314814815,859.768820469973,79.9678638328115
8,"CCNRD","407","60",10.0098,"214b","407CCNRD60","2",2025-12-17 09:14:00,2025-12-17 09:16:00,2246,"9:15",20251211,26,26,"","09:15:00",2084.25166666667,1298,1363.45114814815,1.00002314814815,668.751988901449,62.2652227102611
9,"CCNRD","407","60",10.0004,"214c","407CCNRD60","2",2025-12-17 09:16:00,2025-12-17 09:18:00,2381,"9:17",20251211,26,26,"","09:17:00",2431.96,1456,1711.15948148148,1.00002314814815,839.29762215725,78.2175990161016
10,"CCNRD","408","60",10.0239,"215a","408CCNRD60","2",2025-12-17 09:18:00,2025-12-17 09:20:00,1550,"9:19",20251211,26,26,"","09:19:02",1615.04333333333,1611,894.242814814815,1.00002314814815,438.612459111926,40.7802700998284
11,"CCNRD","408","60",10.0135,"215b","408CCNRD60","2",2025-12-17 09:20:00,2025-12-17 09:22:00,1912,"9:21",20251211,26,26,"","09:21:03",1799.38166666667,1749,1078.58114814815,1.00002314814815,529.027599555264,49.2377600009064
12,"CCNRD","408","60",10.0033,"215c","408CCNRD60","2",2025-12-17 09:22:00,2025-12-17 09:24:00,1742,"9:23",20251211,26,26,"","09:23:01",1735.35666666667,1869,1014.55614814815,1.00002314814815,497.62431374809,46.3622129575162
13,"CCNRD","101","90",10.001,"086A","101CCNRD90","2",2025-12-17 09:24:00,2025-12-17 09:26:00,1507,"9:25",20251211,26,26,"","09:25:00",1449.955,2022,729.154481481481,1.00002314814815,357.639150012408,33.3278644392212
14,"CCNRD","101","90",9.9812,"086B","101CCNRD90","2",2025-12-17 09:26:00,2025-12-17 09:28:00,1529,"9:27",20251211,26,26,"","09:27:01",1402.34333333333,2177,681.542814814815,1.00002314814815,334.286353822026,31.2134482838244
15,"CCNRD","101","90",10.0105,"086C","101CCNRD90","2",2025-12-17 09:28:00,2025-12-17 09:30:00,1784,"9:29",20251211,26,26,"","09:28:59",1683.4,2332,962.599481481482,1.00002314814815,472.140361340103,43.956308976937
16,"CCNRD","102","90",10.0092,"216a","102CCNRD90","2",2025-12-17 09:30:00,2025-12-17 09:32:00,1827,"9:31",20251211,26,26,"","09:31:05",1793.90166666667,2511,1073.10114814815,1.00002314814815,526.339743151932,49.0086406094235
17,"CCNRD","102","90",10.0071,"216b","102CCNRD90","2",2025-12-17 09:32:00,2025-12-17 09:34:00,1806,"9:33",20251211,26,26,"","09:33:02",1749.68,2661,1028.87948148148,1.00002314814815,504.649690247552,46.9988932071166
18,"CCNRD","102","90",10.0239,"216c","102CCNRD90","2",2025-12-17 09:34:00,2025-12-17 09:36:00,1955,"9:35",20251211,26,26,"","09:35:01",1860.33833333333,2806,1139.53781481481,1.00002314814815,558.925914669452,51.9664895342098
19,"CCNRD","103","90",10.0147,"217a","103CCNRD90","2",2025-12-17 09:36:00,2025-12-17 09:38:00,1891,"9:37",20251211,26,26,"","09:37:00",1820.785,2958,1099.98448148148,1.00002314814815,539.525608050271,50.2088157615159
20,"CCNRD","103","90",10.0108,"217b","103CCNRD90","2",2025-12-17 09:38:00,2025-12-17 09:40:00,1635,"9:39",20251211,26,26,"","09:39:05",1524.79166666667,3102,803.991148148148,1.00002314814815,394.34539338905,36.7124904302152
21,"CCNRD","103","90",10.0258,"217c","103CCNRD90","2",2025-12-17 09:40:00,2025-12-17 09:42:00,2104,"9:41",20251211,26,26,"","09:41:01",2099.32333333333,3252,1378.52281481481,1.00002314814815,676.144411485187,62.8530396229961
22,"CCNRD","104","90",10.0035,"218a","104CCNRD90","2",2025-12-17 09:42:00,2025-12-17 09:44:00,1847,"9:43",20251211,26,26,"","09:43:02",1764.48166666667,3344,1043.68114814815,1.00002314814815,511.909681950104,47.6921857205719
23,"CCNRD","104","90",10.0237,"218b","104CCNRD90","2",2025-12-17 09:44:00,2025-12-17 09:46:00,1699,"9:45",20251211,26,26,"","09:45:00",1805.41166666667,3495,1084.61114814815,1.00002314814815,531.985222568419,49.4626485839396
24,"CCNRD","104","90",10.0116,"218c","104CCNRD90","2",2025-12-17 09:46:00,2025-12-17 09:48:00,NA,"9:47",20251211,26,26,"","09:47:00",1644.945,3652,924.144481481481,1.00002314814815,453.278770465993,42.1956565614784
25,"CCNRD","105","90",10.0203,"219a","105CCNRD90","2",2025-12-17 09:48:00,2025-12-17 09:50:00,2104,"9:49",20251211,26,26,"","09:48:59",1958.79333333333,3791,1237.99281481481,1.00002314814815,607.216590251573,56.4766286719964
26,"CCNRD","105","90",10.0213,"219b","105CCNRD90","2",2025-12-17 09:50:00,2025-12-17 09:52:00,1912,"9:51",20251211,26,26,"","09:50:59",1823.055,3951,1102.25448148148,1.00002314814815,540.639008421724,50.2792943363656
27,"CCNRD","105","90",10.0167,"219c","105CCNRD90","2",2025-12-17 09:52:00,2025-12-17 09:54:00,2125,"9:53",20251211,26,26,"","09:53:00",2038.04833333333,4112,1317.24781481481,1.00002314814815,646.08995872713,60.1138002599366
28,"CCNRD","106","90",10.0231,"220a","106CCNRD90","2",2025-12-17 09:54:00,2025-12-17 09:56:00,2146,"9:55",20251211,26,26,"","09:55:00",2019.395,4275,1298.59448148148,1.00002314814815,636.94078328124,59.2246978408433
29,"CCNRD","106","90",10.0357,"220b","106CCNRD90","2",2025-12-17 09:56:00,2025-12-17 09:58:00,1827,"9:57",20251211,26,26,"","09:57:02",1836.345,4435,1115.54448148148,1.00002314814815,547.157550684549,50.8125026748224
30,"CCNRD","106","90",10.014,"220c","106CCNRD90","2",2025-12-17 09:58:00,2025-12-17 10:00:00,1806,"9:59",20251211,26,26,"","09:59:07",1710.54333333333,4584,989.742814814815,1.00002314814815,485.453752272177,45.1799904278897
31,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 10:00:00,2025-12-17 10:02:00,677,"10:01",20251211,26,26,"","10:01:14",744.507333333333,4745,23.7068148148148,1.00002314814815,11.627831022372,NA
32,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 10:02:00,2025-12-17 10:04:00,698,"10:03",20251211,26,26,"pause off","10:03:25",617.3395,4797,-103.461018518518,1.00002314814815,-50.7460512993099,NA
33,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 10:04:00,2025-12-17 10:06:00,975,"10:05",20251211,26,26,"","10:05:07",922.302166666667,4954,201.501648148148,1.00002314814815,98.8334845359286,NA
34,"CCNRD","107","90",10.0162,"221a","107CCNRD90","2",2025-12-17 10:06:00,2025-12-17 10:08:00,1529,"10:07",20251211,26,26,"","10:07:08",1441.12,5119,720.319481481481,1.00002314814815,353.305717289153,32.8740746436984
35,"CCNRD","107","90",10.0158,"221b","107CCNRD90","2",2025-12-17 10:08:00,2025-12-17 10:10:00,1465,"10:09",20251211,26,26,"pause off","10:09:47",1479.43166666667,5207,758.631148148148,1.00002314814815,372.097005349794,34.6239323392512
36,"CCNRD","107","90",10.0318,"221c","107CCNRD90","2",2025-12-17 10:10:00,2025-12-17 10:12:00,1593,"10:11",20251211,26,26,"","10:10:59",1536.87,5339,816.069481481481,1.00002314814815,400.269631635688,37.1860146172839
37,"CCNRD","108","90",10.0065,"222a","108CCNRD90","2",2025-12-17 10:12:00,2025-12-17 10:14:00,1422,"10:13",20251211,26,26,"","10:13:11",1454.05833333333,5511,733.257814814815,1.00002314814815,359.651772416606,33.4969962442316
38,"CCNRD","108","90",10.0025,"222b","108CCNRD90","2",2025-12-17 10:14:00,2025-12-17 10:16:00,1316,"10:15",20251211,26,26,"","10:15:02",1251.68,5650,530.879481481482,1.00002314814815,260.38828717106,24.2615612234208
39,"CCNRD","108","90",10.0087,"222c","108CCNRD90","2",2025-12-17 10:16:00,2025-12-17 10:18:00,1635,"10:17",20251211,26,26,"","10:17:03",1547.7,5792,826.899481481482,1.00002314814815,405.581581425484,37.7664715741318
40,"CCNRD","109","90",10.0033,"223a","109CCNRD90","2",2025-12-17 10:18:00,2025-12-17 10:20:00,1699,"10:19",20251211,26,26,"","10:19:00",1602.71666666667,5953,881.916148148148,1.00002314814815,432.56641715358,40.3009575623274
41,"CCNRD","109","90",10.0171,"223b","109CCNRD90","2",2025-12-17 10:20:00,2025-12-17 10:22:00,1657,"10:21",20251211,26,26,"","10:21:37",1467.895,6176,747.094481481481,1.00002314814815,366.438446340103,34.0929736751941
42,"CCNRD","109","90",10.0261,"223c","109CCNRD90","2",2025-12-17 10:22:00,2025-12-17 10:24:00,1571,"10:23",20251211,26,26,"","10:23:08",1509.44166666667,6302,788.641148148148,1.00002314814815,386.816452551251,35.9566121187837
43,"CCNRD","110","90",10.0335,"224a","110CCNRD90","2",2025-12-17 10:24:00,2025-12-17 10:26:00,1912,"10:25",20251211,26,26,"","10:25:09",1805.55166666667,6458,1084.75114814815,1.00002314814815,532.053890432737,49.4207153614361
44,"CCNRD","110","90",10.0058,"224b","110CCNRD90","2",2025-12-17 10:26:00,2025-12-17 10:28:00,1933,"10:27",20251211,26,26,"","10:27:01",1872.51333333333,6611,1151.71281481481,1.00002314814815,564.897566441453,52.6167168106093
45,"CCNRD","110","90",10.0219,"224c","110CCNRD90","2",2025-12-17 10:28:00,2025-12-17 10:30:00,1848,"10:29",20251211,26,26,"","10:28:59",1834.9,6769,1114.09948148148,1.00002314814815,546.448800227831,50.816561027184
46,"CCNRD","111","90",10.0178,"225a","111CCNRD90","2",2025-12-17 10:30:00,2025-12-17 10:32:00,1976,"10:31",20251211,26,26,"","10:31:00",1856.61833333333,6920,1135.81781481481,1.00002314814815,557.101311417556,51.8283858306627
47,"CCNRD","111","90",10.0239,"225b","111CCNRD90","2",2025-12-17 10:32:00,2025-12-17 10:34:00,1955,"10:33",20251211,26,26,"","10:33:00",1846.44,7074,1125.63948148148,1.00002314814815,552.108994186672,51.3326820516323
48,"CCNRD","111","90",10.0154,"225c","111CCNRD90","2",2025-12-17 10:34:00,2025-12-17 10:36:00,1870,"10:35",20251211,26,26,"","10:34:59",1733.505,7240,1012.70448148148,1.00002314814815,496.716099495018,46.2216874800294
49,"CCNRD","112","90",10.0307,"226a","112CCNRD90","2",2025-12-17 10:36:00,2025-12-17 10:38:00,1614,"10:37",20251211,26,26,"","10:37:00",1586.13,7399,865.329481481482,1.00002314814815,424.430910180965,39.4349797917114
50,"CCNRD","112","90",10.0271,"226b","112CCNRD90","2",2025-12-17 10:38:00,2025-12-17 10:40:00,1486,"10:39",20251211,26,26,"","10:39:00",1377.255,7550,656.454481481482,1.00002314814815,321.980909041201,29.9268244005955
51,"CCNRD","112","90",10.0042,"226c","112CCNRD90","2",2025-12-17 10:40:00,2025-12-17 10:42:00,1358,"10:41",20251211,26,26,"","10:41:00",1211.31833333333,7720,490.517814814815,1.00002314814815,240.591505382896,22.4131957176035
