"pause","study","plot","depth.cm","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"CCNRD","303","90",10.0286,"241a","303CCNRD90","2",2025-12-17 01:08:00,2025-12-17 01:10:00,1981,"1:09",20251216,25,25.5,"","13:09:02",1971.13,93,1283.11341666667,1.00002314814815,629.34755715115,58.4865630285727
2,"CCNRD","303","90",10.0046,"241b","303CCNRD90","2",2025-12-17 01:10:00,2025-12-17 01:12:00,1993,"1:11",20251216,25,25.5,"","13:11:00",1957.04833333333,247,1269.03175,1.00002314814815,622.440714465095,57.9834593697127
3,"CCNRD","303","90",10.0126,"241c","303CCNRD90","2",2025-12-17 01:12:00,2025-12-17 01:14:00,1900,"1:13",20251216,25,25.5,"","13:13:09",1853.88,426,1165.86341666667,1.00002314814815,571.838220784245,53.2270224693238
4,"CCNRD","304","90",10.0074,"242a","304CCNRD90","2",2025-12-17 01:14:00,2025-12-17 01:16:00,1572,"1:15",20251216,25,25.5,"","13:15:08",1499.245,605,811.228416666667,1.00002314814815,397.895163193819,37.0555497007833
5,"CCNRD","304","90",10.0372,"242b","304CCNRD90","2",2025-12-17 01:16:00,2025-12-17 01:18:00,1757,"1:17",20251216,25,25.5,"pause?","13:17:02",1679.72166666667,748,991.705083333334,1.00002314814815,486.416215046366,45.1649283352598
6,"CCNRD","304","90",10.0204,"242c","304CCNRD90","2",2025-12-17 01:18:00,2025-12-17 01:20:00,2230,"1:19",20251216,25,25.5,"","13:19:03",2226.26666666667,926,1538.25008333333,1.00002314814815,754.488200075365,70.1735185683912
7,"CCNRD","305","90",10.0244,"243a","305CCNRD90","2",2025-12-17 01:20:00,2025-12-17 01:22:00,1436,"1:21",20251216,25,25.5,"","13:21:00",1346.945,1067,658.928416666667,1.00002314814815,323.194336509984,30.0476985325953
8,"CCNRD","305","90",10.0214,"243b","305CCNRD90","2",2025-12-17 01:22:00,2025-12-17 01:24:00,2105,"1:23",20251216,25,25.5,"","13:23:00",2015.86166666667,1231,1327.84508333333,1.00002314814815,651.287757275547,60.5689962655654
9,"CCNRD","305","90",10.0172,"243c","305CCNRD90","2",2025-12-17 01:24:00,2025-12-17 01:26:00,1903,"1:25",20251216,25,25.5,"","13:25:02",1926.95333333333,1392,1238.93675,1.00002314814815,607.679576060301,56.5371815544745
10,"CCNRD","306","90",10.0081,"244a","306CCNRD90","2",2025-12-17 01:26:00,2025-12-17 01:28:00,1716,"1:27",20251216,25,25.5,"","13:26:59",1669.06,1536,981.043416666667,1.00002314814815,481.186830188667,44.8092789656198
11,"CCNRD","306","90",10.0145,"244b","306CCNRD90","2",2025-12-17 01:28:00,2025-12-17 01:30:00,1809,"1:29",20251216,25,25.5,"","13:29:01",1682.665,1693,994.648416666667,1.00002314814815,487.859875146209,45.4016554750426
12,"CCNRD","306","90",10.0269,"244c","306CCNRD90","2",2025-12-17 01:30:00,2025-12-17 01:32:00,1763,"1:31",20251216,25,25.5,"","13:31:00",1700.62,1853,1012.60341666667,1.00002314814815,496.666528745081,46.1640676498184
